node1	node2
X1	X1
X1	X40
X1	X64
X10	X10
X10	X19
X10	X57
X100	X100
X100	X11
X100	X92
X11	X11
X12	X12
X12	X26
X12	X82
X13	X13
X13	X34
X13	X40
X14	X14
X14	X31
X14	X48
X15	X15
X15	X52
X15	X7
X16	X16
X16	X55
X17	X17
X17	X31
X17	X9
X18	X18
X18	X34
X19	X19
X19	X6
X2	X12
X2	X2
X2	X24
X20	X20
X20	X82
X21	X10
X21	X21
X21	X89
X22	X22
X23	X23
X23	X69
X23	X76
X24	X24
X24	X91
X25	X25
X25	X26
X26	X26
X26	X44
X27	X18
X27	X27
X27	X75
X27	X89
X27	X9
X28	X28
X29	X20
X29	X29
X29	X64
X29	X8
X3	X3
X3	X40
X3	X53
X30	X30
X31	X31
X31	X44
X31	X91
X32	X32
X33	X33
X33	X72
X34	X34
X35	X35
X36	X24
X36	X36
X37	X24
X37	X37
X37	X85
X38	X38
X38	X41
X39	X39
X4	X4
X40	X1
X40	X2
X40	X40
X40	X51
X40	X68
X40	X83
X40	X99
X41	X14
X41	X4
X41	X41
X42	X42
X43	X43
X43	X61
X44	X44
X45	X45
X45	X8
X46	X46
X47	X47
X48	X48
X49	X49
X49	X92
X49	X96
X5	X100
X5	X5
X50	X50
X51	X51
X51	X53
X52	X52
X53	X53
X54	X54
X55	X55
X56	X56
X57	X27
X57	X53
X57	X57
X58	X50
X58	X58
X59	X50
X59	X59
X6	X55
X6	X6
X6	X86
X60	X60
X60	X81
X60	X85
X61	X34
X61	X61
X62	X31
X62	X62
X63	X63
X64	X64
X64	X95
X65	X65
X66	X2
X66	X48
X66	X66
X67	X67
X68	X68
X69	X69
X69	X77
X7	X21
X7	X7
X70	X3
X70	X70
X71	X100
X71	X49
X71	X71
X71	X86
X72	X72
X73	X44
X73	X73
X74	X69
X74	X74
X75	X40
X75	X64
X75	X75
X76	X76
X77	X77
X78	X78
X79	X79
X8	X8
X80	X80
X81	X16
X81	X81
X81	X90
X81	X91
X82	X5
X82	X82
X83	X75
X83	X83
X84	X84
X85	X57
X85	X85
X86	X86
X87	X58
X87	X87
X87	X99
X88	X13
X88	X88
X89	X25
X89	X89
X89	X94
X9	X60
X9	X9
X90	X90
X90	X92
X91	X78
X91	X91
X92	X92
X93	X69
X93	X93
X94	X94
X95	X2
X95	X42
X95	X95
X96	X78
X96	X96
X97	X97
X98	X98
X99	X99
