node2	node1	estimate	edges
X1	X1	1.0000000000000042	X1-X1
X1	X6	-1.3661340685457372e-16	X6-X1
X10	X1	-2.111070717930116e-9	X1-X10
X10	X10	0.999999999993532	X10-X10
X10	X6	-1.3032556749132192e-9	X6-X10
X2	X2	1.0000000000000004	X2-X2
X3	X3	1.000000000000005	X3-X3
X4	X1	1.1326718616273176e-11	X1-X4
X4	X10	-2.0908787829516218e-16	X10-X4
X4	X2	2.4478028736105197e-15	X2-X4
X4	X4	1.0000000000000007	X4-X4
X5	X1	4.187214765302025e-11	X1-X5
X5	X10	5.564837795729109e-16	X10-X5
X5	X2	-1.4128812475144313e-14	X2-X5
X5	X4	-1.257479990132781e-15	X4-X5
X5	X5	1.0000000000000007	X5-X5
X6	X1	1.6810968600745324e-16	X1-X6
X6	X2	-1.3823336639620947e-16	X2-X6
X6	X6	0.9999999999999986	X6-X6
X7	X1	-9.060977310222412e-11	X1-X7
X7	X10	1.1178873925853427e-14	X10-X7
X7	X2	-5.974363088783867e-14	X2-X7
X7	X4	-3.4280941338365926e-14	X4-X7
X7	X5	-4.5787850314360666e-15	X5-X7
X7	X7	1.000000000000001	X7-X7
X8	X1	1.421770142646763e-11	X1-X8
X8	X10	-2.4682814162831072e-15	X10-X8
X8	X2	1.2363897837588055e-14	X2-X8
X8	X4	8.413708203867347e-15	X4-X8
X8	X5	1.3430959585624278e-15	X5-X8
X8	X6	-1.8985839339275454e-15	X6-X8
X8	X7	-2.9204408729237158e-16	X7-X8
X8	X8	0.9999999999999996	X8-X8
X9	X10	-0.9688507522990567	X10-X9
X9	X2	-0.4639234315163692	X2-X9
X9	X3	-1.2584187339527761	X3-X9
X9	X4	0.04332009941353542	X4-X9
X9	X5	0.004550049005127247	X5-X9
X9	X7	-0.6103672804475538	X7-X9
X9	X8	1.449197828926083	X8-X9
