node2	node1	estimate	edges
X1	X1	0.9999999999973601	X1-X1
X1	X13	1.0576704579583512e-11	X13-X1
X1	X22	3.551257984356973e-11	X22-X1
X1	X28	2.3587582101969636e-11	X28-X1
X1	X68	1.749084576749624e-11	X68-X1
X1	X70	3.3475775985564007e-11	X70-X1
X1	X79	-1.925809944429901e-11	X79-X1
X10	X10	0.9999999999999958	X10-X10
X10	X22	1.1175116160916362e-13	X22-X10
X10	X28	8.391984727457042e-14	X28-X10
X10	X70	1.1389541803389068e-13	X70-X10
X10	X79	-9.955645546559292e-14	X79-X10
X100	X100	1.0000000000000222	X100-X100
X100	X22	-4.5537690344627725e-11	X22-X100
X100	X28	-2.92019598258956e-11	X28-X100
X100	X45	-2.799452761936271e-11	X45-X100
X100	X79	4.185390637953705e-11	X79-X100
X100	X83	-5.322920030256706e-11	X83-X100
X11	X11	0.9999999999997033	X11-X11
X11	X22	1.8946109768050992e-11	X22-X11
X11	X45	1.8921440596059046e-11	X45-X11
X11	X79	-2.1920132162367672e-11	X79-X11
X11	X83	3.041412275452793e-11	X83-X11
X12	X12	1.000000000000444	X12-X12
X12	X22	7.123266943379947e-12	X22-X12
X12	X25	5.585800407400313e-12	X25-X12
X12	X41	1.5810524709712892e-12	X41-X12
X12	X75	-8.812605923482228e-12	X75-X12
X12	X79	-8.184388245055201e-12	X79-X12
X13	X13	1.0000000000000022	X13-X13
X13	X14	-1.509520642275415e-15	X14-X13
X13	X22	9.288608384214468e-16	X22-X13
X13	X25	7.1002148910855e-16	X25-X13
X14	X14	0.9999999999999993	X14-X14
X15	X15	0.9999999999999968	X15-X15
X16	X13	-5.263780358798558e-13	X13-X16
X16	X16	0.999999999999744	X16-X16
X16	X17	5.250163263265968e-13	X17-X16
X16	X44	1.841325641379405e-14	X44-X16
X16	X50	-1.9292094816194327e-14	X50-X16
X16	X58	1.0537328463401262e-13	X58-X16
X16	X60	1.448522084695671e-13	X60-X16
X16	X62	-5.114304323992963e-13	X62-X16
X16	X76	-2.98735091458039e-13	X76-X16
X17	X13	-6.944211492133385e-18	X13-X17
X17	X17	0.9999999999999998	X17-X17
X17	X39	5.814905958334188e-18	X39-X17
X17	X72	7.511246297214534e-19	X72-X17
X18	X10	4.8086513079287453e-14	X10-X18
X18	X13	1.9266644847494501e-13	X13-X18
X18	X15	2.116249219334443e-13	X15-X18
X18	X18	0.9999999999999872	X18-X18
X18	X23	5.007389904904572e-14	X23-X18
X18	X27	1.075113381097439e-13	X27-X18
X18	X39	-5.859041117914881e-14	X39-X18
X18	X42	-1.4584623365865254e-14	X42-X18
X18	X48	-3.4798719510740266e-14	X48-X18
X18	X57	-6.199746392006146e-14	X57-X18
X18	X60	-1.706563813967788e-14	X60-X18
X18	X81	-2.128955546794504e-14	X81-X18
X18	X9	4.427818549819888e-14	X9-X18
X19	X15	-6.21250294546708e-14	X15-X19
X19	X19	0.9999999999999962	X19-X19
X19	X34	-2.904356149466226e-16	X34-X19
X19	X39	-1.7363062528073533e-14	X39-X19
X19	X57	-1.730823454959345e-14	X57-X19
X2	X13	1.979956763486694e-12	X13-X2
X2	X17	-2.2196124752970676e-12	X17-X2
X2	X2	1.000000000000308	X2-X2
X2	X34	2.822741153052465e-14	X34-X2
X20	X17	3.653094000196676e-15	X17-X20
X20	X20	0.9999999999999981	X20-X20
X20	X4	4.165883039451581e-17	X4-X20
X21	X10	8.762113151711717e-16	X10-X21
X21	X15	-1.0710053243463371e-14	X15-X21
X21	X21	0.9999999999999969	X21-X21
X21	X37	-7.330205736651568e-16	X37-X21
X22	X15	2.2287025881396293e-17	X15-X22
X22	X22	0.9999999999999997	X22-X22
X22	X4	3.9654781115699636e-19	X4-X22
X23	X23	1	X23-X23
X23	X34	-2.921358654686639e-19	X34-X23
X23	X53	4.838103575740775e-19	X53-X23
X23	X61	-4.41323281839069e-18	X61-X23
X23	X68	1.2757018728109981e-17	X68-X23
X24	X10	-5.2955229237238983e-14	X10-X24
X24	X100	-2.0373443890056517e-16	X100-X24
X24	X12	-4.9105500578814605e-15	X12-X24
X24	X17	7.0032573059028945e-15	X17-X24
X24	X22	-4.932317896948195e-15	X22-X24
X24	X24	0.9999999999999953	X24-X24
X24	X46	-3.992184145514242e-15	X46-X24
X24	X61	8.905240189110505e-16	X61-X24
X24	X68	-3.0623820435409796e-15	X68-X24
X24	X70	-4.808519341803677e-15	X70-X24
X25	X10	-1.949349623858447e-15	X10-X25
X25	X13	-4.910008426350069e-15	X13-X25
X25	X15	1.0396990390786334e-14	X15-X25
X25	X21	1.0388364238195677e-15	X21-X25
X25	X25	0.9999999999999996	X25-X25
X25	X61	-1.9314327955413295e-16	X61-X25
X25	X70	1.2606671010018922e-15	X70-X25
X26	X10	1.1923283558439698e-13	X10-X26
X26	X13	7.009084567907826e-14	X13-X26
X26	X15	1.3455763796212263e-13	X15-X26
X26	X17	-6.595365884782345e-14	X17-X26
X26	X22	6.733686930897895e-14	X22-X26
X26	X25	2.919525644724891e-14	X25-X26
X26	X26	1.0000000000000004	X26-X26
X26	X61	1.0172576760788242e-14	X61-X26
X26	X70	-8.719719587581874e-14	X70-X26
X27	X10	4.85992292967501e-16	X10-X27
X27	X100	-4.005733330506502e-18	X100-X27
X27	X13	-4.9501524703865043e-14	X13-X27
X27	X14	-5.76186911437855e-16	X14-X27
X27	X15	-6.78047175871099e-15	X15-X27
X27	X17	-2.3676326029963892e-15	X17-X27
X27	X19	1.2853578167974387e-16	X19-X27
X27	X21	-1.3552726604814172e-16	X21-X27
X27	X22	-2.0459485891795618e-16	X22-X27
X27	X23	-1.0579335237814586e-15	X23-X27
X27	X24	7.911047735036701e-18	X24-X27
X27	X25	1.1873831332034247e-15	X25-X27
X27	X27	0.9999999999999999	X27-X27
X27	X63	7.231832266396605e-17	X63-X27
X27	X70	1.511578479672362e-16	X70-X27
X28	X13	-3.328074658557329e-17	X13-X28
X28	X20	-3.585486973385954e-17	X20-X28
X28	X22	-1.6233468402704476e-16	X22-X28
X28	X23	-5.78024192639965e-17	X23-X28
X28	X28	0.9999999999999987	X28-X28
X28	X70	-1.0972959591085753e-16	X70-X28
X28	X77	2.362326437738053e-18	X77-X28
X29	X17	-1.3938322486425858e-16	X17-X29
X29	X20	1.1920465166008224e-16	X20-X29
X29	X28	1.8391225449983352e-16	X28-X29
X29	X29	0.9999999999999973	X29-X29
X29	X69	-1.1984675776929401e-17	X69-X29
X29	X70	1.2945858023364857e-16	X70-X29
X29	X77	-3.9347858333157414e-18	X77-X29
X3	X13	-2.0793436708434804e-16	X13-X3
X3	X15	1.4715594912992143e-16	X15-X3
X3	X17	-2.0822585248399753e-16	X17-X3
X3	X20	4.0386404835605364e-17	X20-X3
X3	X23	-4.0609643834007694e-16	X23-X3
X3	X24	5.005478639747807e-18	X24-X3
X3	X28	9.784672522116746e-17	X28-X3
X3	X29	-2.037968710446106e-16	X29-X3
X3	X3	1.0000000000000002	X3-X3
X3	X41	1.2405961307083153e-17	X41-X3
X3	X57	-5.1103398840442723e-17	X57-X3
X3	X69	-7.57634454505527e-18	X69-X3
X3	X74	5.367572768812771e-17	X74-X3
X3	X77	-2.4142176711469508e-18	X77-X3
X3	X85	1.0633835465335008e-17	X85-X3
X30	X14	2.9076622127823686e-16	X14-X30
X30	X17	3.751846028726409e-16	X17-X30
X30	X19	1.2123903244488522e-16	X19-X30
X30	X28	-2.735300629617505e-16	X28-X30
X30	X29	-3.0655998520524164e-16	X29-X30
X30	X30	0.9999999999999964	X30-X30
X30	X31	3.9708853916529534e-17	X31-X30
X30	X84	-1.4654059354957628e-16	X84-X30
X30	X85	-3.845506901568042e-17	X85-X30
X30	X91	-9.670776135282048e-18	X91-X30
X31	X14	-1.2790979726302128e-14	X14-X31
X31	X23	-4.541010688816424e-15	X23-X31
X31	X24	1.96457361758286e-16	X24-X31
X31	X27	3.0674041331704428e-15	X27-X31
X31	X29	-3.7118783183250315e-15	X29-X31
X31	X31	0.9999999999999988	X31-X31
X31	X84	-2.004501438578164e-15	X84-X31
X32	X13	4.320267768088757e-18	X13-X32
X32	X17	-1.86524750457367e-17	X17-X32
X32	X19	-7.185280934028088e-18	X19-X32
X32	X22	2.580368563379203e-17	X22-X32
X32	X23	3.256970770376847e-17	X23-X32
X32	X24	8.340892352158833e-19	X24-X32
X32	X30	1.0959116701217005e-17	X30-X32
X32	X32	0.9999999999999998	X32-X32
X33	X15	5.030653664723989e-16	X15-X33
X33	X17	3.446923657166658e-16	X17-X33
X33	X23	-2.074887713103161e-16	X23-X33
X33	X25	-1.493715524142858e-16	X25-X33
X33	X28	-2.606900004783495e-16	X28-X33
X33	X32	-2.308404060007989e-16	X32-X33
X33	X33	0.9999999999999952	X33-X33
X34	X10	-2.3953979619247945e-14	X10-X34
X34	X100	1.7400176665244767e-16	X100-X34
X34	X12	6.473498068150806e-16	X12-X34
X34	X13	-5.349715150191116e-13	X13-X34
X34	X15	-3.1541593899244305e-13	X15-X34
X34	X17	1.5614852886983905e-14	X17-X34
X34	X19	2.6031640947263528e-15	X19-X34
X34	X21	2.408680180987274e-14	X21-X34
X34	X22	6.938237676007209e-15	X22-X34
X34	X23	4.776908553613879e-15	X23-X34
X34	X24	6.682738774973232e-16	X24-X34
X34	X25	8.27132119211514e-15	X25-X34
X34	X27	3.0245741505147564e-15	X27-X34
X34	X30	3.2541674723875663e-15	X30-X34
X34	X32	-5.665675560485408e-15	X32-X34
X34	X34	0.9999999999999999	X34-X34
X35	X17	-2.132357242650272e-16	X17-X35
X35	X22	3.5564345906263767e-16	X22-X35
X35	X23	5.116317201582558e-16	X23-X35
X35	X24	2.582935232979289e-17	X24-X35
X35	X28	-2.3485814161217583e-16	X28-X35
X35	X29	-2.729688520234411e-16	X29-X35
X35	X3	-1.0229409730566433e-16	X3-X35
X35	X30	-1.4388651402113832e-16	X30-X35
X35	X35	0.9999999999999966	X35-X35
X36	X12	-9.11900388964073e-17	X12-X36
X36	X13	-5.346403776423783e-17	X13-X36
X36	X15	-2.0450040405315619e-16	X15-X36
X36	X17	1.446829950435797e-16	X17-X36
X36	X23	3.539410902554988e-16	X23-X36
X36	X24	-9.423247736041512e-17	X24-X36
X36	X25	8.625952119992069e-17	X25-X36
X36	X29	2.027103369765083e-16	X29-X36
X36	X30	-1.564432242460453e-16	X30-X36
X36	X31	-3.328666493774514e-17	X31-X36
X36	X32	1.4243498569593858e-16	X32-X36
X36	X36	1.0000000000000036	X36-X36
